app,variable,treatment,value
Spotify,low,low_v2_download,154.025856
Spotify,low,low_v2_download,154.0368106
Spotify,low,low_v2_download,154.0412462
Spotify,low,low_v2_download,154.181124
Spotify,low,low_v2_download,154.336392
Spotify,low,low_v2_download,154.866767
Spotify,low,low_v2_download,154.957464
Spotify,low,low_v2_download,154.957464
Spotify,low,low_v2_download,154.957464
Spotify,low,low_v2_download,154.957464
Spotify,low,low_v2_download,154.957464
Spotify,low,low_v2_download,155.268
Spotify,low,low_v2_download,156.702307
Spotify,low,low_v2_download,157.8297383
Spotify,low,low_v2_download,158.37336
Spotify,low,low_v2_download,158.37336
Spotify,low,low_v2_download,158.37336
Spotify,low,low_v2_download,158.37336
Spotify,low,low_v2_download,158.5266064
Spotify,low,low_v2_download,158.589098
Spotify,low,low_v2_download,158.9034216
Spotify,low,low_v2_download,159.92604
Spotify,low,low_v2_download,161.47872
Spotify,low,low_v2_download,169.24212
YouTube Music,low,low_v2_wifi,144.692784
YouTube Music,low,low_v2_wifi,146.10672
YouTube Music,low,low_v2_wifi,153.804816
YouTube Music,low,low_v2_wifi,155.847168
YouTube Music,low,low_v2_wifi,180.6696
YouTube Music,low,low_v2_wifi,186.95376
YouTube Music,low,low_v2_wifi,186.95376
YouTube Music,low,low_v2_wifi,190.09584
YouTube Music,low,low_v2_wifi,193.23792
YouTube Music,low,low_v2_wifi,194.80896
YouTube Music,low,low_v2_wifi,194.80896
YouTube Music,low,low_v2_wifi,194.80896
YouTube Music,low,low_v2_wifi,196.38
YouTube Music,low,low_v2_wifi,196.38
YouTube Music,low,low_v2_wifi,196.38
YouTube Music,low,low_v2_wifi,196.38
YouTube Music,low,low_v2_wifi,196.38
YouTube Music,low,low_v2_wifi,196.38
YouTube Music,low,low_v2_wifi,196.38
YouTube Music,low,low_v2_wifi,196.38
YouTube Music,low,low_v2_wifi,196.38
YouTube Music,low,low_v2_wifi,196.38
YouTube Music,low,low_v2_wifi,197.95104
YouTube Music,low,low_v2_wifi,197.95104
YouTube Music,low,low_v2_wifi,197.95104
YouTube Music,low,low_v2_wifi,197.95104
YouTube Music,low,low_v2_wifi,199.52208
YouTube Music,low,low_v2_wifi,199.52208
YouTube Music,low,low_v2_wifi,201.09312
YouTube Music,low,low_v2_wifi,202.66416
YouTube Music,low,low_v3_download,144.6552
YouTube Music,low,low_v3_download,144.811584
YouTube Music,low,low_v3_download,144.967968
YouTube Music,low,low_v3_download,151.536096
YouTube Music,low,low_v3_download,154.03824
YouTube Music,low,low_v3_download,181.40544
YouTube Music,low,low_v3_download,192.35232
YouTube Music,low,low_v3_download,192.35232
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,193.91616
YouTube Music,low,low_v3_download,195.48
YouTube Music,low,low_v3_download,195.48
YouTube Music,low,low_v3_download,195.48
YouTube Music,low,low_v3_download,198.60768
YouTube Music,low,low_v3_download,198.60768
YouTube Music,low,low_v3_download,198.60768
YouTube Music,low,low_v3_download,203.2992
YouTube Music,low,low_v3_download,206.42688
YouTube Music,low,low_v1_download,147.419244
YouTube Music,low,low_v1_download,148.518216
YouTube Music,low,low_v1_download,150.71616
YouTube Music,low,low_v1_download,152.443116
