app,variable,treatment,value
Spotify,v2,normal_v2_download,151.99146
Spotify,v2,normal_v2_download,152.1448896
Spotify,v2,normal_v2_download,152.14608
Spotify,v2,normal_v2_download,152.2024164
Spotify,v2,normal_v2_download,152.2097367
Spotify,v2,normal_v2_download,152.2124885
Spotify,v2,normal_v2_download,152.2124885
Spotify,v2,normal_v2_download,152.45532
Spotify,v2,normal_v2_download,152.60994
Spotify,v2,normal_v2_download,152.91918
Spotify,v2,normal_v2_download,153.3091296
Spotify,v2,normal_v2_download,153.3310819
Spotify,v2,normal_v2_download,153.38304
Spotify,v2,normal_v2_download,153.3930812
Spotify,v2,normal_v2_download,153.3930812
Spotify,v2,normal_v2_download,153.53766
Spotify,v2,normal_v2_download,153.9107989
Spotify,v2,normal_v2_download,154.020918
Spotify,v2,normal_v2_download,154.1336636
Spotify,v2,normal_v2_download,154.1336636
Spotify,v2,normal_v2_download,154.62
Spotify,v2,normal_v2_download,154.62
Spotify,v2,normal_v2_download,154.62
Spotify,v2,normal_v2_download,154.62
Spotify,v2,normal_v2_download,154.7610589
Spotify,v2,normal_v2_download,165.4434
Spotify,v2,normal_v2_download,171.6282
Spotify,v2,normal_v2_download,174.7206
Spotify,v2,normal_v2_download,177.813
Spotify,v2,normal_v2_download,177.813
Spotify,v2,low_v2_wifi,152.33616
Spotify,v2,low_v2_wifi,152.3864544
Spotify,v2,low_v2_wifi,153.10944
Spotify,v2,low_v2_wifi,153.2402079
Spotify,v2,low_v2_wifi,153.5117691
Spotify,v2,low_v2_wifi,153.728064
Spotify,v2,low_v2_wifi,154.2128911
Spotify,v2,low_v2_wifi,154.2341528
Spotify,v2,low_v2_wifi,154.2526124
Spotify,v2,low_v2_wifi,154.2681454
Spotify,v2,low_v2_wifi,154.2734106
Spotify,v2,low_v2_wifi,154.4580522
Spotify,v2,low_v2_wifi,154.4932254
Spotify,v2,low_v2_wifi,154.5295631
Spotify,v2,low_v2_wifi,154.656
